, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10
PLAIN_UNCOMPRESSED, 34388, 34388, 34380, 34392, 34384, 34396, 34388, 34392, 34392, 34392, 
PLAIN_SNAPPY, 34392, 34396, 34392, 34392, 34392, 34392, 34396, 34388, 34396, 34388, 
PLAIN_LZ4, 34388, 34396, 34388, 34392, 34392, 34396, 34392, 34388, 34392, 34380, 
PLAIN_GZIP, 34396, 34396, 34388, 34388, 34392, 34396, 34392, 34392, 34384, 34388, 
TS_2DIFF_UNCOMPRESSED, 34388, 34396, 34388, 34392, 34392, 34392, 34392, 34396, 34388, 34388, 
TS_2DIFF_SNAPPY, 34396, 34396, 34384, 34388, 34392, 34396, 34388, 34392, 34388, 34380, 
TS_2DIFF_LZ4, 34396, 34396, 34392, 34392, 34392, 34392, 34396, 34396, 34392, 34384, 
TS_2DIFF_GZIP, 34388, 34396, 34392, 34388, 34392, 34388, 34388, 34396, 34384, 34380, 
RLE_UNCOMPRESSED, 34392, 34388, 34388, 34392, 34388, 34388, 34388, 34392, 34392, 34392, 
RLE_SNAPPY, 34396, 34388, 34388, 34392, 34380, 34396, 34396, 34388, 34392, 34376, 
RLE_LZ4, 34384, 34392, 34388, 34396, 34392, 34388, 34396, 34392, 34388, 34376, 
RLE_GZIP, 34388, 34388, 34392, 34392, 34392, 34396, 34392, 34380, 34384, 34388, 
GORILLA_UNCOMPRESSED, 34392, 34388, 34392, 34388, 34392, 34392, 34388, 34392, 34384, 34384, 
GORILLA_SNAPPY, 34396, 34388, 34392, 34388, 34392, 34392, 34396, 34392, 34396, 34388, 
GORILLA_LZ4, 34396, 34392, 34388, 34388, 34388, 34392, 34388, 34388, 34384, 34380, 
GORILLA_GZIP, 34392, 34392, 34384, 34396, 34388, 34392, 34384, 34396, 34396, 34392, 
