, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10
PLAIN_UNCOMPRESSED, 2.42, 2.51, 2.44, 2.64, 2.63, 2.60, 2.50, 2.28, 2.17, 2.46, 
PLAIN_SNAPPY, 2.60, 2.51, 2.35, 2.62, 2.45, 2.57, 2.44, 2.51, 2.56, 2.56, 
PLAIN_LZ4, 2.52, 4.80, 3.74, 5.04, 3.67, 4.12, 3.43, 2.70, 2.60, 3.32, 
PLAIN_GZIP, 6.17, 2.26, 2.60, 2.43, 2.54, 2.29, 2.47, 2.07, 2.34, 2.59, 
TS_2DIFF_UNCOMPRESSED, 2.43, 2.69, 2.50, 2.55, 2.35, 2.07, 2.44, 2.44, 2.46, 2.30, 
TS_2DIFF_SNAPPY, 2.38, 2.22, 2.47, 2.48, 2.41, 2.64, 4.24, 4.74, 4.69, 4.44, 
TS_2DIFF_LZ4, 4.83, 3.46, 3.90, 5.95, 4.69, 5.11, 3.59, 2.83, 3.57, 3.40, 
TS_2DIFF_GZIP, 3.38, 2.62, 2.44, 2.88, 3.56, 3.53, 2.79, 2.69, 4.11, 2.47, 
RLE_UNCOMPRESSED, 3.94, 3.95, 3.46, 2.52, 2.33, 2.55, 2.44, 2.28, 2.53, 2.38, 
RLE_SNAPPY, 2.40, 2.58, 2.49, 2.56, 2.51, 2.32, 2.54, 2.32, 2.50, 2.62, 
RLE_LZ4, 2.59, 2.59, 2.38, 2.56, 2.33, 2.53, 2.45, 2.49, 2.43, 2.39, 
RLE_GZIP, 2.39, 2.57, 2.59, 2.44, 2.30, 2.50, 2.49, 2.44, 2.27, 2.52, 
GORILLA_UNCOMPRESSED, 2.29, 2.51, 2.51, 2.34, 2.48, 2.13, 2.56, 2.23, 2.41, 2.07, 
GORILLA_SNAPPY, 2.62, 2.33, 2.56, 2.47, 2.27, 2.45, 2.29, 2.48, 2.43, 2.32, 
GORILLA_LZ4, 2.51, 2.55, 2.38, 2.38, 2.56, 2.39, 2.50, 2.21, 2.52, 2.47, 
GORILLA_GZIP, 2.55, 2.48, 2.48, 2.31, 2.38, 2.11, 2.59, 2.35, 2.48, 2.29, 
