, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10
PLAIN_UNCOMPRESSED, 90532.56, 43311.13, 29868.21, 20758.21, 16919.77, 14034.43, 12360.96, 11866.40, 11038.37, 9049.20, 
PLAIN_SNAPPY, 83386.80, 43607.88, 30454.59, 20798.86, 18028.36, 14148.50, 12595.95, 10803.31, 9451.13, 8664.30, 
PLAIN_LZ4, 86066.57, 22199.74, 19354.91, 10723.17, 12142.07, 8694.35, 9091.55, 10169.18, 9273.07, 6467.05, 
PLAIN_GZIP, 35396.01, 48591.99, 27903.69, 22299.86, 17290.12, 15766.38, 12587.55, 13143.96, 10375.95, 8573.64, 
TS_2DIFF_UNCOMPRESSED, 88823.10, 40952.51, 29075.59, 21310.82, 18870.30, 17480.93, 12723.82, 11112.17, 9672.14, 9501.25, 
TS_2DIFF_SNAPPY, 92195.93, 49355.19, 29356.09, 21837.81, 18217.28, 13648.32, 7141.72, 5783.49, 5049.87, 5111.66, 
TS_2DIFF_LZ4, 43932.88, 30051.07, 18479.91, 8950.21, 9411.09, 7097.81, 8520.88, 9343.12, 6816.94, 6459.83, 
TS_2DIFF_GZIP, 65196.71, 41775.97, 29784.95, 18332.33, 12435.83, 10264.66, 11045.81, 10198.20, 5890.68, 8906.82, 
RLE_UNCOMPRESSED, 56072.84, 27478.55, 19989.27, 21496.73, 18816.46, 14275.52, 12754.74, 11956.78, 9598.50, 9301.10, 
RLE_SNAPPY, 90553.67, 42426.62, 29086.11, 21106.34, 17639.60, 15558.91, 12245.52, 11776.18, 9654.73, 8492.80, 
RLE_LZ4, 84494.26, 42202.41, 30364.72, 21306.06, 18918.25, 14178.43, 12765.71, 10943.48, 9839.43, 9287.37, 
RLE_GZIP, 90852.43, 43035.14, 27826.62, 22384.97, 19353.27, 14442.39, 12521.40, 11040.20, 10505.78, 8676.79, 
GORILLA_UNCOMPRESSED, 93937.04, 43827.49, 28688.28, 23124.26, 17749.73, 17069.59, 12096.71, 11955.03, 10024.21, 10628.84, 
GORILLA_SNAPPY, 83844.48, 46691.26, 28282.96, 22136.97, 19102.70, 14719.99, 13583.41, 11031.58, 9956.40, 9572.23, 
GORILLA_LZ4, 87024.84, 43033.99, 30147.88, 22986.09, 17272.11, 15062.92, 12449.96, 12145.20, 9609.44, 8943.65, 
GORILLA_GZIP, 85531.27, 43942.59, 28694.30, 23611.74, 18612.13, 17247.30, 12014.78, 11520.35, 9716.72, 9631.98, 
