, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10
PLAIN_UNCOMPRESSED, 17.77, 8.69, 8.72, 9.59, 8.73, 8.85, 11.58, 9.38, 8.65, 11.65, 
PLAIN_SNAPPY, 12.38, 8.61, 8.76, 12.75, 8.61, 8.87, 15.32, 8.70, 8.80, 13.91, 
PLAIN_LZ4, 8.57, 12.04, 18.80, 12.81, 11.35, 18.43, 13.73, 9.09, 13.17, 10.92, 
PLAIN_GZIP, 16.67, 11.53, 8.91, 8.62, 15.06, 8.58, 8.61, 12.84, 8.65, 9.29, 
TS_2DIFF_UNCOMPRESSED, 14.51, 8.77, 8.62, 12.45, 8.54, 8.65, 10.47, 8.83, 12.44, 10.48, 
TS_2DIFF_SNAPPY, 8.54, 13.79, 8.74, 8.89, 13.27, 8.72, 10.76, 16.29, 12.68, 14.28, 
TS_2DIFF_LZ4, 19.40, 14.47, 14.32, 14.68, 12.44, 14.74, 19.65, 10.86, 10.22, 12.65, 
TS_2DIFF_GZIP, 13.90, 9.89, 11.63, 9.16, 12.68, 9.81, 9.81, 16.05, 10.10, 9.57, 
RLE_UNCOMPRESSED, 14.80, 11.33, 14.32, 11.60, 12.08, 9.35, 8.58, 11.04, 9.43, 8.65, 
RLE_SNAPPY, 10.30, 9.58, 9.58, 9.75, 13.21, 9.12, 10.29, 11.20, 8.84, 9.41, 
RLE_LZ4, 12.64, 9.16, 9.11, 12.87, 9.28, 9.50, 12.62, 9.45, 8.90, 12.11, 
RLE_GZIP, 11.79, 9.08, 9.32, 13.47, 8.53, 8.81, 16.41, 9.07, 8.82, 12.00, 
GORILLA_UNCOMPRESSED, 8.92, 8.97, 9.19, 9.01, 12.40, 11.74, 9.42, 9.43, 12.18, 8.85, 
GORILLA_SNAPPY, 9.48, 9.94, 8.99, 14.03, 8.83, 8.97, 13.88, 9.12, 8.92, 11.17, 
GORILLA_LZ4, 12.83, 8.59, 9.78, 8.76, 9.01, 9.18, 14.55, 8.92, 9.68, 14.95, 
GORILLA_GZIP, 8.65, 9.30, 12.08, 9.17, 9.97, 12.96, 9.41, 9.54, 12.16, 9.15, 
