, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10
PLAIN_UNCOMPRESSED, 870654.79, 1466531.26, 1459363.42, 1363063.28, 1489242.08, 1419417.02, 1191989.72, 1406090.23, 1468503.09, 1153865.52, 
PLAIN_SNAPPY, 1107886.86, 1454789.22, 1441571.03, 1110296.94, 1485855.55, 1431762.68, 954209.94, 1434701.02, 1436726.87, 1061751.08, 
PLAIN_LZ4, 1487282.49, 970268.72, 647366.81, 941607.51, 1072724.14, 766798.80, 917008.91, 1368590.94, 1059194.93, 1089860.83, 
PLAIN_GZIP, 695254.80, 1206579.34, 1451469.81, 1468293.47, 1016949.74, 1434032.11, 1478181.35, 1116620.57, 1470767.03, 1386210.11, 
TS_2DIFF_UNCOMPRESSED, 997380.30, 1466622.15, 1473763.00, 1142066.84, 1486979.48, 1484314.30, 1274874.80, 1409662.94, 1143062.78, 1270608.99, 
TS_2DIFF_SNAPPY, 1479136.67, 1051983.45, 1457591.54, 1445497.93, 1079350.84, 1435523.46, 1090575.91, 822083.62, 979715.60, 828996.09, 
TS_2DIFF_LZ4, 668723.59, 806054.13, 840392.47, 800101.16, 969443.17, 816242.88, 700994.00, 1103094.07, 1192212.60, 989945.72, 
TS_2DIFF_GZIP, 832648.93, 1192758.66, 1005549.81, 1342434.79, 1093117.23, 1246193.07, 1233517.38, 893364.36, 1219955.01, 1319635.83, 
RLE_UNCOMPRESSED, 869461.47, 1060688.41, 818611.16, 1159781.50, 1148323.93, 1373925.66, 1481956.95, 1188197.43, 1371891.46, 1438335.55, 
RLE_SNAPPY, 1244829.44, 1342858.79, 1282245.92, 1308579.59, 1045094.56, 1007208.97, 1270045.95, 1147597.27, 1413627.81, 1281806.81, 
RLE_LZ4, 1105738.45, 1359770.02, 1344444.97, 1042951.71, 1379818.99, 1363029.36, 1113788.01, 1334926.65, 1368839.09, 1146747.49, 
RLE_GZIP, 1154292.46, 1343362.15, 1319569.43, 1081582.36, 1428670.85, 1419340.45, 913127.24, 1369977.46, 1463276.35, 1159542.04, 
GORILLA_UNCOMPRESSED, 1367867.91, 1455382.58, 1394739.03, 1414551.94, 1140427.20, 1177280.27, 1349253.36, 1315990.58, 1138752.40, 1453752.08, 
GORILLA_SNAPPY, 1320688.13, 1293707.75, 1396553.01, 1036507.54, 1396043.35, 1406400.96, 1046100.40, 1396806.24, 1377871.58, 1188030.98, 
GORILLA_LZ4, 1094200.34, 1451705.17, 1318715.03, 1446807.73, 1412423.20, 1371544.86, 1013743.75, 1397698.38, 1298744.13, 963151.16, 
GORILLA_GZIP, 1465319.64, 1340553.65, 1142142.02, 1328536.51, 1321429.39, 1086610.75, 1349302.51, 1299214.10, 1141891.35, 1337796.02, 
