, 0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9
PLAIN_UNCOMPRESSED, 12.83, 7.40, 7.61, 8.04, 11.09, 7.49, 7.50, 8.06, 10.78, 7.98, 
PLAIN_SNAPPY, 8.73, 8.26, 7.78, 7.83, 7.54, 7.97, 7.73, 7.98, 8.01, 8.59, 
PLAIN_LZ4, 9.30, 7.71, 9.76, 8.13, 7.13, 7.81, 10.34, 9.74, 16.33, 7.21, 
PLAIN_GZIP, 7.96, 12.02, 10.56, 7.23, 12.20, 7.15, 7.29, 11.92, 12.06, 7.07, 
TS_2DIFF_UNCOMPRESSED, 7.87, 12.85, 7.19, 7.16, 10.33, 8.09, 11.58, 12.59, 7.04, 7.75, 
TS_2DIFF_SNAPPY, 11.51, 7.12, 7.40, 7.64, 7.52, 7.67, 8.55, 7.68, 7.40, 7.29, 
TS_2DIFF_LZ4, 8.28, 7.73, 7.31, 8.33, 7.62, 7.20, 6.98, 7.49, 9.93, 7.99, 
TS_2DIFF_GZIP, 13.02, 7.09, 7.24, 13.99, 8.24, 7.22, 7.26, 7.82, 10.43, 6.89, 
RLE_UNCOMPRESSED, 7.47, 11.45, 12.32, 7.03, 7.26, 12.70, 11.42, 10.05, 7.11, 7.27, 
RLE_SNAPPY, 8.81, 7.63, 7.22, 7.53, 7.98, 7.19, 8.33, 7.50, 8.08, 8.84, 
RLE_LZ4, 8.38, 7.29, 7.16, 8.10, 8.61, 9.40, 7.94, 7.50, 10.06, 8.19, 
RLE_GZIP, 9.02, 9.87, 7.82, 7.99, 10.30, 13.41, 12.91, 7.52, 8.29, 8.99, 
GORILLA_UNCOMPRESSED, 10.08, 10.70, 8.81, 6.95, 6.99, 8.41, 14.82, 7.12, 8.55, 9.72, 
GORILLA_SNAPPY, 11.38, 10.84, 7.16, 7.64, 9.86, 9.84, 10.67, 9.05, 7.43, 8.13, 
GORILLA_LZ4, 8.97, 7.72, 8.46, 8.70, 8.25, 7.94, 8.42, 7.39, 7.47, 8.03, 
GORILLA_GZIP, 9.03, 9.98, 8.08, 7.61, 7.51, 7.49, 7.94, 9.48, 8.38, 7.80, 
