Exception Proportion, 0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9
Write Throughput (PLAIN_UNCOMPRESSED), 1132304.93, 1621799.67, 1603507.78, 1565772.64, 1274022.73, 1627118.39, 1647149.08, 1550152.68, 1313041.96, 1543694.10, 
Write Throughput (PLAIN_SNAPPY), 1442839.50, 1561010.05, 1610715.01, 1551981.96, 1636352.69, 1588174.35, 1625169.45, 1602400.93, 1578828.87, 1532261.75, 
Write Throughput (PLAIN_LZ4), 1419440.17, 1595671.92, 1400688.41, 1535835.68, 1717304.15, 1586719.90, 1358339.04, 1398792.38, 942812.27, 1698695.88, 
Write Throughput (PLAIN_GZIP), 1531212.66, 1180586.05, 1284958.77, 1641259.91, 1193372.89, 1636967.33, 1660563.37, 1203571.36, 1191411.53, 1711667.77, 
Write Throughput (TS_2DIFF_UNCOMPRESSED), 1550342.75, 1141441.91, 1693836.57, 1695609.58, 1335422.82, 1557651.66, 1229350.03, 1155771.77, 1664925.61, 1617693.08, 
Write Throughput (TS_2DIFF_SNAPPY), 1204889.01, 1686352.69, 1670585.06, 1591909.67, 1612942.47, 1578952.65, 1507127.63, 1547231.73, 1679404.40, 1671545.17, 
Write Throughput (TS_2DIFF_LZ4), 1501921.94, 1615786.08, 1680308.13, 1541757.50, 1568872.44, 1676500.31, 1725483.22, 1633259.78, 1375275.34, 1580493.23, 
Write Throughput (TS_2DIFF_GZIP), 1124235.63, 1733886.14, 1674799.91, 1071886.65, 1582488.45, 1702844.89, 1672281.79, 1556343.49, 1339556.19, 1743445.30, 
Write Throughput (RLE_UNCOMPRESSED), 1627998.27, 1228372.47, 1183412.22, 1715799.20, 1682936.80, 1153515.76, 1238550.99, 1371763.28, 1723285.70, 1646225.19, 
Write Throughput (RLE_SNAPPY), 1401994.93, 1585858.59, 1693825.49, 1617156.54, 1564903.31, 1682818.79, 1529971.95, 1626709.22, 1589021.82, 1465200.32, 
Write Throughput (RLE_LZ4), 1486089.37, 1676713.32, 1677087.77, 1536818.63, 1534244.27, 1414617.81, 1588321.28, 1628266.23, 1373566.37, 1548036.91, 
Write Throughput (RLE_GZIP), 1411148.89, 1333199.32, 1559412.80, 1543164.90, 1268743.76, 1088373.10, 1130572.06, 1609650.93, 1486228.17, 1456145.04, 
Write Throughput (GORILLA_UNCOMPRESSED), 1310239.48, 1314702.85, 1497502.56, 1759098.78, 1758798.27, 1494212.04, 1018175.02, 1723947.27, 1347395.91, 1179746.97, 
Write Throughput (GORILLA_SNAPPY), 1108659.83, 1155387.28, 1649513.53, 1577307.37, 1213103.98, 1177918.19, 1303851.11, 1309644.59, 1602553.47, 1451393.71, 
Write Throughput (GORILLA_LZ4), 1354311.78, 1560848.73, 1395222.83, 1444559.51, 1487315.95, 1520283.30, 1455066.80, 1613822.58, 1617494.97, 1548661.90, 
Write Throughput (GORILLA_GZIP), 1415105.40, 1329941.20, 1458260.71, 1573216.45, 1604384.91, 1604833.70, 1518687.38, 1380921.33, 1505950.16, 1554234.02, 
