, 1, 2, 4, 8, 16, 32, 64, 128, 256, 512, 1024
PLAIN_UNCOMPRESSED, 3.54, 3.57, 3.56, 3.50, 3.55, 3.54, 3.48, 3.45, 3.49, 3.56, 3.56, 
PLAIN_SNAPPY, 3.47, 3.57, 3.56, 3.48, 3.56, 3.58, 3.48, 3.46, 3.50, 3.56, 3.56, 
PLAIN_LZ4, 3.42, 3.54, 3.55, 3.49, 3.56, 3.56, 3.54, 3.49, 3.52, 3.58, 3.58, 
PLAIN_GZIP, 3.46, 3.59, 3.57, 3.48, 3.57, 3.55, 3.48, 3.53, 3.50, 3.57, 3.58, 
TS_2DIFF_UNCOMPRESSED, 3.43, 3.57, 3.55, 3.49, 3.57, 3.55, 3.48, 3.50, 3.55, 3.57, 3.60, 
TS_2DIFF_SNAPPY, 3.49, 3.58, 3.56, 3.49, 3.58, 3.57, 3.50, 3.48, 3.48, 3.55, 3.55, 
TS_2DIFF_LZ4,, 3.51, 3.59, 3.57, 3.49, 3.59, 3.59, 3.50, 3.52, 3.52, 3.57, 3.56, 
TS_2DIFF_GZIP, 3.50, 3.57, 3.59, 3.49, 3.57, 3.57, 3.48, 3.47, 3.51, 3.58, 3.57, 
RLE_UNCOMPRESSED, 3.48, 3.57, 3.56, 3.46, 3.56, 3.57, 3.47, 3.51, 4.63, 3.61, 3.57, 
RLE_SNAPPY, 3.46, 3.61, 3.59, 3.51, 3.59, 3.58, 3.56, 3.50, 4.03, 3.60, 3.58, 
RLE_LZ4, 3.42, 3.57, 3.54, 3.60, 3.56, 3.59, 3.48, 3.50, 3.49, 3.56, 3.56, 
RLE_GZIP, 3.46, 3.55, 3.55, 3.47, 3.55, 3.27, 3.48, 3.48, 3.49, 3.55, 3.55, 
GORILLA_UNCOMPRESSED, 3.43, 3.55, 3.54, 3.46, 3.67, 3.89, 3.52, 3.49, 3.49, 3.57, 3.57, 
GORILLA_SNAPPY, 3.52, 3.61, 3.58, 3.48, 3.56, 3.55, 3.50, 3.50, 3.49, 3.58, 3.59, 
GORILLA_LZ4, 3.46, 3.55, 3.54, 3.49, 3.55, 3.59, 3.51, 3.50, 3.47, 3.55, 3.55, 
GORILLA_GZIP, 3.41, 3.55, 3.51, 3.46, 3.55, 3.54, 3.49, 3.49, 3.50, 3.60, 3.57, 
